,Settlement Point Name,Settlement Point Type,Settlement Point Price
2018-01-01 00:00:00-06:00,HB_HOUSTON,HU,27.68
2018-01-01 00:15:00-06:00,HB_HOUSTON,HU,27.69
2018-01-01 00:30:00-06:00,HB_HOUSTON,HU,27.46
2018-01-01 00:45:00-06:00,HB_HOUSTON,HU,27.45
2018-01-01 01:00:00-06:00,HB_HOUSTON,HU,27.62
2018-01-01 01:15:00-06:00,HB_HOUSTON,HU,27.83
2018-01-01 01:30:00-06:00,HB_HOUSTON,HU,27.71
2018-01-01 01:45:00-06:00,HB_HOUSTON,HU,27.63
2018-01-01 02:00:00-06:00,HB_HOUSTON,HU,27.43
2018-01-01 02:15:00-06:00,HB_HOUSTON,HU,27.53
2018-01-01 02:30:00-06:00,HB_HOUSTON,HU,27.61
2018-01-01 02:45:00-06:00,HB_HOUSTON,HU,27.57
2018-01-01 03:00:00-06:00,HB_HOUSTON,HU,27.95
2018-01-01 03:15:00-06:00,HB_HOUSTON,HU,27.91
2018-01-01 03:30:00-06:00,HB_HOUSTON,HU,27.75
2018-01-01 03:45:00-06:00,HB_HOUSTON,HU,28.25
2018-01-01 04:00:00-06:00,HB_HOUSTON,HU,27.38
2018-01-01 04:15:00-06:00,HB_HOUSTON,HU,28.21
2018-01-01 04:30:00-06:00,HB_HOUSTON,HU,28.88
2018-01-01 04:45:00-06:00,HB_HOUSTON,HU,30.08
2018-01-01 05:00:00-06:00,HB_HOUSTON,HU,29.97
2018-01-01 05:15:00-06:00,HB_HOUSTON,HU,31.38
2018-01-01 05:30:00-06:00,HB_HOUSTON,HU,31.39
2018-01-01 05:45:00-06:00,HB_HOUSTON,HU,31.4
2018-01-01 06:00:00-06:00,HB_HOUSTON,HU,32.31
2018-01-01 06:15:00-06:00,HB_HOUSTON,HU,32.65
2018-01-01 06:30:00-06:00,HB_HOUSTON,HU,32.76
2018-01-01 06:45:00-06:00,HB_HOUSTON,HU,33.31
2018-01-01 07:00:00-06:00,HB_HOUSTON,HU,32.14
2018-01-01 07:15:00-06:00,HB_HOUSTON,HU,32.18
2018-01-01 07:30:00-06:00,HB_HOUSTON,HU,32.63
2018-01-01 07:45:00-06:00,HB_HOUSTON,HU,32.22
2018-01-01 08:00:00-06:00,HB_HOUSTON,HU,32.08
2018-01-01 08:15:00-06:00,HB_HOUSTON,HU,33.09
2018-01-01 08:30:00-06:00,HB_HOUSTON,HU,32.53
2018-01-01 08:45:00-06:00,HB_HOUSTON,HU,32.65
2018-01-01 09:00:00-06:00,HB_HOUSTON,HU,36.76
2018-01-01 09:15:00-06:00,HB_HOUSTON,HU,40.25
2018-01-01 09:30:00-06:00,HB_HOUSTON,HU,40.01
2018-01-01 09:45:00-06:00,HB_HOUSTON,HU,39.54
2018-01-01 10:00:00-06:00,HB_HOUSTON,HU,40.25
2018-01-01 10:15:00-06:00,HB_HOUSTON,HU,41.03
2018-01-01 10:30:00-06:00,HB_HOUSTON,HU,40.5
2018-01-01 10:45:00-06:00,HB_HOUSTON,HU,39.9
2018-01-01 11:00:00-06:00,HB_HOUSTON,HU,39.85
2018-01-01 11:15:00-06:00,HB_HOUSTON,HU,40.37
2018-01-01 11:30:00-06:00,HB_HOUSTON,HU,40.3
2018-01-01 11:45:00-06:00,HB_HOUSTON,HU,39.83
2018-01-01 12:00:00-06:00,HB_HOUSTON,HU,37.28
2018-01-01 12:15:00-06:00,HB_HOUSTON,HU,36.26
2018-01-01 12:30:00-06:00,HB_HOUSTON,HU,34.93
2018-01-01 12:45:00-06:00,HB_HOUSTON,HU,34.32
2018-01-01 13:00:00-06:00,HB_HOUSTON,HU,32.17
2018-01-01 13:15:00-06:00,HB_HOUSTON,HU,31.11
2018-01-01 13:30:00-06:00,HB_HOUSTON,HU,30.8
2018-01-01 13:45:00-06:00,HB_HOUSTON,HU,30.72
2018-01-01 14:00:00-06:00,HB_HOUSTON,HU,29.14
2018-01-01 14:15:00-06:00,HB_HOUSTON,HU,28.43
2018-01-01 14:30:00-06:00,HB_HOUSTON,HU,27.84
2018-01-01 14:45:00-06:00,HB_HOUSTON,HU,27.26
2018-01-01 15:00:00-06:00,HB_HOUSTON,HU,27.44
2018-01-01 15:15:00-06:00,HB_HOUSTON,HU,27.42
2018-01-01 15:30:00-06:00,HB_HOUSTON,HU,27.57
2018-01-01 15:45:00-06:00,HB_HOUSTON,HU,27.85
2018-01-01 16:00:00-06:00,HB_HOUSTON,HU,28.07
2018-01-01 16:15:00-06:00,HB_HOUSTON,HU,28.67
2018-01-01 16:30:00-06:00,HB_HOUSTON,HU,29.57
2018-01-01 16:45:00-06:00,HB_HOUSTON,HU,30.76
2018-01-01 17:00:00-06:00,HB_HOUSTON,HU,31.32
2018-01-01 17:15:00-06:00,HB_HOUSTON,HU,34.42
2018-01-01 17:30:00-06:00,HB_HOUSTON,HU,40.04
2018-01-01 17:45:00-06:00,HB_HOUSTON,HU,43.76
2018-01-01 18:00:00-06:00,HB_HOUSTON,HU,43.79
2018-01-01 18:15:00-06:00,HB_HOUSTON,HU,42.12
